Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","101.3","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","100.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","101.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","102.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","102.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","102.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","103.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","103.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","104.5","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","103.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","104.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","104.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","104.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","104.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","104.3","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","104.7","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","105","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","105.2","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","105.4","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","105.8","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","106.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","105.3","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","6125","Value","","105.9","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","6125","Value","","106","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","6125","Value","","106.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2017","2017","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","6125","Value","","106.1","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","578","Norway","2018","2018","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","106","X","Figure from external organization","base year is 2015"
